"idnum","uniq_id","pais","year","wave","nationality","estratopri","strata","upm","prov1t","ur1new","q1tb","q2","wt","weight1500","core_a_core_b","municipio1t","a4","covid2at","idio2","idio2cov","fs2","fs2covidn","covid11n","it1","jc13","jc13covid","jc15a","jccov1","jccov2","vic1ext","aoj11","countfair1","countfair2","countfair3","countfair4","wvsi2","wvsi3","chm1bn","chm2bn","cses6n","b0t","b2","b3","b4","b6","b32","b13","b37","b47a","dst1bn","pr3dnr","pr3enr","drk1c","drk1n","drr1","drr1a","drr1b","m1","ing4","anestg","pn4","exc6","exc2","exc7new","genor4","aojg2n","aojg3n1","mil10a","mil10e","ccch1","ccch3","ccch4","ccch6","ccus1","ccus3","ccus4","ccus6","soc2an1e","soc2an2e","cp4","ciusa1","ciusaid1","ciusa2","renov1","immig1xa","immig1xd","edr","ocup4a","q10newt","q14","q11n","q12c","q12bn","covidedu1_1","covidedu1_2","covidedu1_3","covidedu1_4","covidedu1_5","covidedu2","etid","gi0n","r3","r4","r6","r7","r15","r18n","r18","r16","r27","psc1n","psc1c1","psc1c2_1","psc1c2_2","psc1c2_3","psc1c2_4","psc1c2_5","psc1c2_6","psc1c2_7","psc1c2_8","psc1c2_9","psc1c2_10","psc1c2_11","psc1c2_12","psc1c2_13","psc1c2_14","psc1c2_15","psc1c2_16","psc1c2_17","psc1c2_18","psc1c2_19","psc1c2_77","psc1c3","psc1t1_1","psc1t1_2","psc1t1_3","psc1t1_4","psc1t1_5","psc1t1_6","psc1t1_77","psc1c4","psc1t2_1","psc1t2_2","psc1t2_3","psc1t2_4","psc1t2_5","psc1t2_6","psc1t2_7","psc1t2_8","psc1t2_9","psc1t2_10","psc1t2_11","psc1t2_12","psc1t2_13","psc1t2_14","psc1t2_15","psc1t2_16","psc1t2_17","psc1t2_18","psc1t2_19","psc1t2_77","psc1t3","psc1t4","psc2n","psc2r1","psc2r2_1","psc2r2_2","psc2r2_3","psc2r2_4","psc2r2_5","psc2r2_6","psc2r2_7","psc2r2_8","psc2r2_9","psc2r2_10","psc2r2_11","psc2r2_12","psc2r2_13","psc2r2_14","psc2r2_15","psc2r2_16","psc2r2_17","psc2r2_18","psc2r2_19","psc2r2_99","psc2r2_77","psc2c1","psc2c2_1","psc2c2_2","psc2c2_3","psc2c2_4","psc2c2_5","psc2c2_6","psc2c2_7","psc2c2_8","psc2c2_9","psc2c2_10","psc2c2_11","psc2c2_12","psc2c2_13","psc2c2_14","psc2c2_15","psc2c2_16","psc2c2_17","psc2c2_18","psc2c2_19","psc2c2_77","psc2f1","psc2f2_1","psc2f2_2","psc2f2_3","psc2f2_4","psc2f2_5","psc2f2_6","psc2f2_7","psc2f2_8","psc2f2_9","psc2f2_10","psc2f2_11","psc2f2_12","psc2f2_13","psc2f2_14","psc2f2_15","psc2f2_16","psc2f2_17","psc2f2_18","psc2f2_19","psc2f2_77","psc2f3","psc2f4_1","psc2f4_2","psc2f4_3","psc2f4_77","psc7n","psc8n","psc9n","psc14","psc12n","psc11n","psc11an","psc15","psc16","psc13n_1","psc13n_2","psc13n_3","psc13n_4","psc13n_5","psc13n_7","psc13n_11","psc13n_12","psc13n_13","psc13n_77","conocim","idiomaq","formatq","sexi","srvyrid","fecha"
284544,21090284544,9,2021,2021,9,902,900002021,90315421,900019,3,2,52,1.61587429046631,0.80659282207489,"Core B",900190,27,3,2,NA,0,NA,1,3,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,0,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,2,4,0,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,1,3,1,1,NA,1,NA,1,0,0,0,0,0,0,1,0,0,1,1,6,1,29,2021-06-21
328854,21090328854,9,2021,2021,9,901,900002021,90607021,900013,4,2,20,1.47075092792511,0.734151899814606,"Core B",900136,70,3,1,NA,0,NA,2,3,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,0,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,1,5,91,NA,3,4,2,0,0,1,0,0,2,2,1,1,0,1,NA,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,977777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,2,NA,NA,1,1,0,0,0,0,1,0,0,0,0,3,1,6,1,29,2021-07-02
61891,21090061891,9,2021,2021,9,901,900002021,90025121,900010,4,2,48,1.27596545219421,0.636921167373657,"Core A",NA,1,1,3,1,0,NA,2,3,NA,1,1,2,NA,NA,NA,NA,NA,1,1,NA,2,NA,2,5,2,2,1,3,2,2,NA,NA,1,2,1,1,1,1,2,NA,NA,2,2,3,3,0,NA,NA,NA,NA,NA,4,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,5,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,1,29,2021-06-06
254912,21090254912,9,2021,2021,9,902,900002021,90596421,900019,3,2,50,1.61587429046631,0.80659282207489,"Core B",900191,13,1,3,2,0,NA,1,3,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,0,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,2,5,94,NA,2,3,0,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,7,NA,1,0,0,0,0,0,0,0,0,0,1,1,6,1,29,2021-07-02
16886,21090016886,9,2021,2021,9,903,900002021,90826121,900022,4,2,35,0.670955657958984,0.334919631481171,"Core A",900200,3,2,3,2,1,2,2,NA,1,NA,1,2,NA,NA,NA,3,1,NA,NA,2,NA,NA,2,2,3,6,4,4,5,4,NA,NA,3,5,3,1,3,3,2,NA,NA,3,4,3,4,1,NA,NA,NA,NA,NA,2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,3,4,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,1,29,2021-07-17
306788,21090306788,9,2021,2021,9,902,900002021,90125921,900019,1,2,39,1.11452269554138,0.556334137916565,"Core B",NA,3,4,3,1,1,1,2,3,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,0,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,2,2,94,NA,3,7,1,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,977777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,2,4,1,1,NA,7,NA,1,0,0,0,0,0,0,0,0,0,2,1,6,1,29,2021-06-12
342057,21090342057,9,2021,2021,9,901,900002021,90079921,900010,4,2,24,0.710206747055054,0.354512512683868,"Core A",900087,1,1,2,NA,0,NA,2,1,1,NA,1,1,NA,NA,NA,3,3,NA,NA,1,NA,2,NA,2,7,7,5,7,7,7,NA,NA,6,1,1,1,3,3,2,NA,NA,3,6,2,3,0,NA,NA,NA,NA,NA,2,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,1,29,2021-06-09
218336,21090218336,9,2021,2021,9,902,900002021,90155121,900001,2,2,44,0.473126262426376,0.236169517040253,"Core B",900003,13,3,2,NA,0,NA,2,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,0,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,3,1,95,NA,1,3,0,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,977777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,2,3,1,1,NA,7,NA,1,1,0,0,0,0,0,1,0,0,1,1,6,1,29,2021-06-14
110369,21090110369,9,2021,2021,9,901,900002021,90342321,900014,2,2,20,0.710206747055054,0.354512512683868,"Core B",900143,71,1,3,1,0,NA,1,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,0,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,2,4,94,NA,1,7,1,0,0,1,0,0,2,7,1,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,977777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,NA,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,6,1,1,NA,1,NA,1,0,0,0,0,0,0,0,0,0,2,1,6,1,29,2021-06-22
242774,21090242774,9,2021,2021,9,901,900002021,90420121,900010,1,2,28,0.803973376750946,0.401317834854126,"Core B",900087,13,1,3,1,0,NA,1,2,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,0,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,5,94,NA,1,8,3,0,0,1,0,0,2,2,1,1,0,1,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,NA,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,2,3,1,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,6,1,29,2021-06-25
